,name,year,place,style,genre,painting_url
327,The Voyer d'Argenson Park in Asnieres,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/the-voyer-d-argenson-park-in-asnieres-1887.jpg
328,Trees and Undergrowth,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/trees-and-undergrowth-1887.jpg
329,Trees and Undergrowth,1887,"Paris, France","
Post-Impressionism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/trees-and-undergrowth-1887-1.jpg
330,Trees in a Field on a Sunny Day,1887,"Paris, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/trees-in-a-field-on-a-sunny-day-1887.jpg
331,Two Cut Sunflowers,1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads2.wikiart.org/images/vincent-van-gogh/two-cut-sunflowers-1887.jpg
332,Undergrowth,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads4.wikiart.org/images/vincent-van-gogh/undergrowth-1887.jpg
333,Undergrowth,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/undergrowth-1887-1.jpg
334,Vase with Daisies,1887,"Paris, France","
Realism
","
flower painting
",https://uploads1.wikiart.org/images/vincent-van-gogh/vase-with-daisies-1887.jpg
335,Vase with Daisies and Anemones,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
flower painting
",https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-daisies-and-anemones-1887.jpg
336,"Vase with Flowers, Coffeepot and Fruit",1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads3.wikiart.org/images/vincent-van-gogh/vase-with-flowers-coffeepot-and-fruit-1887.jpg
337,"Vase with Lilacs, Daisies and Anemones",1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
flower painting
",https://uploads3.wikiart.org/images/vincent-van-gogh/vase-with-lilacs-daisies-and-anemones-1887.jpg
338,Vase with White and Red Carnations,1887,,"
Post-Impressionism
","
flower painting
",https://uploads0.wikiart.org/images/vincent-van-gogh/vase-with-white-and-red-carnations-1887.jpg
339,Vegetable Gardens in Montmartre,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/vegetable-gardens-in-montmartre-1887.jpg
340,Vegetable Gardens in Montmartre,1887,,"
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/vegetable-gardens-in-montmartre-1887-1.jpg
341,Vegetable Gardens in Montmartre,1887,,"
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/vegetable-gardens-in-montmartre-1887-2.jpg
